                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1546,                 1.2304,                 1.1456,                0.71408,                0.83333,                0.77116,                0.42696,                 1.3351,                 1.4337,                 1.4859,               0.006733,               0.006733,               0.006733
                     35,                  1.192,                 1.2686,                 1.1804,                0.78392,                0.90757,                0.82356,                0.37323,                 1.6533,                 1.1771,                 1.9127,               0.006634,               0.006634,               0.006634
                     36,                 1.1298,                 1.2878,                 1.1543,                0.84712,                0.58333,                0.72583,                0.38084,                 1.5007,                 1.3281,                 1.6937,               0.006535,               0.006535,               0.006535
                     37,                 1.0995,                  1.182,                 1.1268,                0.59666,                0.83333,                 0.6873,                0.40399,                 1.4525,                 1.4762,                 1.7139,               0.006436,               0.006436,               0.006436
                     38,                 1.1282,                 1.2667,                 1.1434,                0.76258,                0.58333,                0.61244,                0.41306,                 1.1922,                 1.4867,                 1.3478,               0.006337,               0.006337,               0.006337
                     39,                 1.0523,                 1.1358,                 1.0871,                0.68809,                0.73628,                0.58346,                 0.4054,                  1.236,                 1.5308,                 1.4407,               0.006238,               0.006238,               0.006238
                     40,                 1.0354,                 1.1778,                 1.1037,                0.66441,                0.66667,                0.71499,                0.47441,                 1.3108,                 1.4992,                  1.498,               0.006139,               0.006139,               0.006139
                     41,                0.97925,                 1.0899,                 1.0737,                  0.614,                   0.75,                0.62471,                0.38901,                 1.4323,                  1.324,                 1.5628,                0.00604,                0.00604,                0.00604
                     42,                 1.0485,                 1.1162,                 1.0881,                 0.6882,                0.73666,                0.64558,                0.39917,                 1.2877,                  1.291,                 1.5081,               0.005941,               0.005941,               0.005941
                     43,                  1.047,                 1.1392,                   1.07,                0.74553,                   0.75,                0.73806,                0.34147,                 1.3748,                 1.6682,                 1.5763,               0.005842,               0.005842,               0.005842
                     44,                 1.0539,                 1.1554,                 1.0965,                0.81618,                0.74082,                0.79857,                 0.4247,                    1.3,                 1.3991,                 1.5304,               0.005743,               0.005743,               0.005743
                     45,                 1.0639,                 1.1777,                 1.1053,                 0.8761,                   0.75,                0.85771,                0.31402,                 1.2585,                 1.6355,                 1.4696,               0.005644,               0.005644,               0.005644
                     46,                 1.0656,                 1.1262,                 1.0841,                0.79162,                   0.75,                0.74347,                0.29924,                 1.6421,                 1.4541,                 1.8466,               0.005545,               0.005545,               0.005545
                     47,                 1.0896,                 1.0926,                 1.0961,                0.75343,                0.83333,                0.76399,                0.35584,                 1.6202,                 1.1507,                 1.9357,               0.005446,               0.005446,               0.005446
                     48,                 1.0685,                 1.1015,                 1.0939,                0.60561,                0.66667,                0.53263,                0.31318,                 1.6765,                 1.2482,                 1.8884,               0.005347,               0.005347,               0.005347
                     49,                 1.0092,                 1.0575,                 1.0679,                0.67771,                   0.75,                0.63811,                 0.2725,                 1.5785,                 1.3935,                 1.8001,               0.005248,               0.005248,               0.005248
                     50,                 1.0526,                 1.1579,                 1.1124,                0.79083,                0.91667,                 0.8791,                0.26888,                 1.6521,                 1.5055,                 1.7397,               0.005149,               0.005149,               0.005149
                     51,                 1.0078,                 1.0985,                  1.087,                0.63031,                   0.75,                0.61556,                0.30994,                 1.5474,                 1.5521,                 1.6059,                0.00505,                0.00505,                0.00505
                     52,                0.98089,                 1.0304,                 1.0648,                0.91566,                0.90564,                 0.9475,                0.45601,                 1.5185,                 1.3963,                 1.5204,               0.004951,               0.004951,               0.004951
                     53,                0.95959,                0.97544,                 1.0577,                0.56944,                0.99227,                0.67643,                0.40597,                 1.1662,                  1.415,                 1.2641,               0.004852,               0.004852,               0.004852
                     54,                0.97436,                0.94218,                 1.0396,                0.48534,                   0.75,                0.48305,                0.31306,                  1.378,                 1.3952,                 1.5939,               0.004753,               0.004753,               0.004753
                     55,                0.96532,                0.96454,                 1.0454,                0.53439,                   0.75,                0.53502,                0.26937,                 1.4067,                 1.4792,                 1.5947,               0.004654,               0.004654,               0.004654
                     56,                0.97431,                0.97018,                 1.0855,                0.73484,                0.66667,                0.68178,                0.35195,                 1.6213,                 1.2153,                 1.8827,               0.004555,               0.004555,               0.004555
                     57,                0.91569,                0.91252,                 1.0481,                0.76107,                   0.75,                0.78516,                0.42833,                 1.3696,                 1.1299,                 1.5872,               0.004456,               0.004456,               0.004456
                     58,                0.93831,                0.89803,                  1.045,                0.65692,                0.83333,                0.66905,                0.37671,                 1.5001,                 1.1448,                 1.7656,               0.004357,               0.004357,               0.004357
                     59,                0.90884,                0.90639,                 1.0009,                0.60268,                   0.75,                 0.5334,                0.33601,                 1.6156,                 1.1865,                 1.8114,               0.004258,               0.004258,               0.004258
                     60,                0.92308,                0.90236,                 1.0036,                0.61513,                0.80042,                0.62302,                 0.3193,                 1.7132,                 1.1836,                 1.9154,               0.004159,               0.004159,               0.004159
                     61,                0.99217,                 1.0086,                 1.0773,                0.89934,                0.83333,                0.93601,                0.42133,                 1.3674,                 1.2237,                 1.5752,                0.00406,                0.00406,                0.00406
                     62,                0.93159,                0.92892,                   1.04,                 0.8718,                      1,                0.97577,                0.54036,                 1.1961,                  1.053,                 1.4349,               0.003961,               0.003961,               0.003961
                     63,                0.90987,                0.87808,                0.99573,                0.90113,                      1,                0.98269,                0.45793,                 1.3319,                 1.0544,                 1.5859,               0.003862,               0.003862,               0.003862
                     64,                0.94291,                0.95111,                 1.0392,                0.78099,                      1,                0.96669,                0.49962,                 1.1761,                 1.0334,                 1.3429,               0.003763,               0.003763,               0.003763
                     65,                0.89608,                0.91071,                 1.0322,                0.72851,                 0.6712,                0.75671,                0.46713,                  1.125,                 1.1405,                 1.3283,               0.003664,               0.003664,               0.003664
                     66,                0.86626,                0.86107,                 1.0059,                0.83278,                   0.75,                0.81525,                0.50073,                 1.0231,                  1.089,                 1.2504,               0.003565,               0.003565,               0.003565
                     67,                0.90178,                0.88418,                0.99925,                 0.8311,                0.83333,                 0.9053,                0.62016,                0.95646,                 1.1058,                 1.1456,               0.003466,               0.003466,               0.003466
                     68,                0.89968,                0.88352,                 1.0223,                0.94262,                0.83333,                0.94633,                  0.542,                  1.135,                0.97354,                 1.3453,               0.003367,               0.003367,               0.003367
                     69,                0.86658,                0.89353,                 1.0088,                0.97471,                   0.75,                0.92429,                0.55198,                  1.099,                0.92156,                 1.3638,               0.003268,               0.003268,               0.003268
                     70,                0.84516,                0.82091,                0.99686,                0.91507,                 0.8991,                0.96833,                0.55177,                  1.238,                0.93331,                 1.4764,               0.003169,               0.003169,               0.003169
                     71,                0.87265,                0.81843,                0.98045,                0.78424,                   0.75,                 0.8141,                0.51968,                 1.3215,                 1.0501,                 1.5027,                0.00307,                0.00307,                0.00307
                     72,                0.84175,                0.80127,                0.97223,                0.63997,                   0.75,                0.69443,                0.46275,                 1.3768,                 1.0641,                 1.5843,               0.002971,               0.002971,               0.002971
                     73,                 0.8432,                 0.8217,                0.98951,                0.90654,                0.91667,                0.86261,                0.41752,                 1.6356,                0.94903,                 2.0498,               0.002872,               0.002872,               0.002872
                     74,                0.86149,                0.81074,                 1.0061,                0.90703,                0.91667,                0.85402,                0.40636,                 1.6184,                0.89581,                 2.0663,               0.002773,               0.002773,               0.002773
                     75,                 0.8232,                0.81416,                0.98815,                0.76057,                   0.75,                0.69922,                0.40948,                 1.5742,                 0.9247,                 1.9528,               0.002674,               0.002674,               0.002674
                     76,                0.88194,                0.79293,                0.98444,                0.81725,                0.74573,                 0.7113,                0.41894,                 1.3163,                 1.1154,                   1.61,               0.002575,               0.002575,               0.002575
                     77,                0.78919,                 0.7609,                0.97989,                0.74955,                0.74836,                0.71266,                0.35724,                 1.3116,                 1.2928,                 1.5574,               0.002476,               0.002476,               0.002476
                     78,                0.81981,                0.77292,                0.98812,                0.77958,                0.91667,                0.83328,                0.42467,                 1.0875,                  1.484,                 1.2961,               0.002377,               0.002377,               0.002377
                     79,                0.81779,                0.74289,                0.98603,                0.78572,                0.83333,                0.87857,                0.49659,                 1.0829,                 1.3343,                 1.2967,               0.002278,               0.002278,               0.002278
                     80,                0.83833,                0.80431,                0.99331,                0.73305,                0.91541,                0.79828,                0.44118,                 1.1025,                 1.3307,                 1.2808,               0.002179,               0.002179,               0.002179
                     81,                0.74692,                0.76467,                0.95437,                0.71383,                0.83162,                0.80188,                0.39687,                 1.1996,                 1.3771,                 1.3518,                0.00208,                0.00208,                0.00208
                     82,                0.84381,                0.76673,                  1.001,                0.60899,                0.90893,                0.65589,                0.33235,                 1.2823,                 1.4542,                 1.5125,               0.001981,               0.001981,               0.001981
                     83,                0.77153,                   0.74,                0.96669,                0.66556,                0.83333,                0.63558,                0.35214,                 1.3998,                 1.3672,                 1.6942,               0.001882,               0.001882,               0.001882
                     84,                0.76559,                0.70448,                0.96216,                0.60738,                0.91667,                0.70667,                0.37275,                 1.4438,                 1.1873,                 1.7519,               0.001783,               0.001783,               0.001783
                     85,                 0.7427,                 0.7259,                0.95567,                 0.6419,                0.91667,                0.65476,                0.36685,                 1.2517,                 1.2586,                 1.5506,               0.001684,               0.001684,               0.001684
                     86,                0.74835,                0.67831,                0.97134,                0.63516,                0.91667,                0.74154,                0.37365,                 1.3033,                 1.1976,                 1.5949,               0.001585,               0.001585,               0.001585
                     87,                0.75332,                0.70785,                0.93927,                 0.6018,                0.91667,                0.67466,                0.34713,                  1.298,                 1.2158,                 1.6144,               0.001486,               0.001486,               0.001486
                     88,                0.75228,                0.67892,                0.94981,                0.66457,                  0.826,                0.67223,                0.31336,                 1.3208,                  1.256,                 1.6339,               0.001387,               0.001387,               0.001387
                     89,                0.75697,                0.71053,                0.98687,                0.62905,                   0.75,                0.58274,                0.30435,                 1.3686,                 1.2217,                 1.7136,               0.001288,               0.001288,               0.001288
                     90,                0.70287,                0.65308,                0.94455,                0.71043,                0.81872,                0.64334,                0.31477,                 1.3351,                 1.2418,                  1.696,               0.001189,               0.001189,               0.001189
                     91,                0.73369,                0.69907,                0.96628,                0.73378,                   0.75,                0.64862,                0.32696,                  1.356,                 1.1888,                 1.7364,                0.00109,                0.00109,                0.00109
                     92,                0.76456,                0.69807,                0.96169,                0.66576,                0.91667,                0.73016,                0.35474,                 1.4196,                 1.1296,                 1.7692,               0.000991,               0.000991,               0.000991
                     93,                0.76122,                0.71213,                 0.9502,                0.72065,                   0.75,                0.65015,                0.33143,                 1.3592,                 1.1773,                  1.713,               0.000892,               0.000892,               0.000892
                     94,                0.73174,                0.68612,                0.94394,                0.78453,                   0.75,                0.72271,                0.35681,                 1.3532,                 1.1321,                 1.7075,               0.000793,               0.000793,               0.000793
                     95,                0.72663,                0.66948,                0.92128,                0.74641,                0.73684,                0.65641,                0.34197,                 1.2707,                 1.2097,                 1.6257,               0.000694,               0.000694,               0.000694
                     96,                0.67454,                0.62993,                0.94683,                0.68327,                0.89975,                0.69791,                0.33059,                 1.3491,                 1.2128,                  1.675,               0.000595,               0.000595,               0.000595
                     97,                0.66931,                0.63606,                0.92809,                0.76839,                   0.75,                0.73191,                0.37169,                 1.3077,                 1.2252,                 1.6285,               0.000496,               0.000496,               0.000496
                     98,                0.72568,                0.69649,                0.95706,                0.81369,                0.83333,                0.76984,                 0.3741,                 1.4149,                 1.1581,                 1.7877,               0.000397,               0.000397,               0.000397
                     99,                 0.7516,                0.69609,                0.94896,                0.81389,                0.83333,                0.76924,                0.37984,                 1.4414,                  1.165,                 1.8061,               0.000298,               0.000298,               0.000298
